wave	category	priority	threshold	lines	path	status
Wave1	python_source	P2	800	899	./src/backtesting/advanced_backtest_engine.py	TODO
Wave1	python_source	P2	800	866	./web/backend/app/api/backup_recovery_secure/log_security_event.py	TODO
Wave1	python_source	P2	800	855	./web/backend/app/api/dashboard.py	TODO
Wave1	python_source	P2	800	851	./web/backend/app/api/notification.py	TODO
Wave1	python_source	P2	800	851	./web/backend/app/api/algorithms/get_algorithms_module.py	TODO
Wave1	python_source	P2	800	839	./src/advanced_analysis/market_panorama_analyzer.py	TODO
Wave1	python_source	P2	800	838	./src/advanced_analysis/capital_flow_analyzer/capital_flow_cluster.py	TODO
Wave1	python_source	P2	800	834	./web/backend/app/api/strategy_management/get_monitoring_db.py	TODO
Wave1	python_source	P2	800	829	./web/backend/app/api/tasks.py	TODO
Wave1	python_source	P2	800	824	./web/backend/app/api/indicators/indicator_cache.py	TODO
Wave1	python_source	P2	800	824	./src/advanced_analysis/sentiment_analyzer/sentiment_score.py	TODO
Wave1	python_source	P2	800	822	./web/backend/app/api/market/market_data_request.py	TODO
Wave1	python_source	P2	800	820	./src/advanced_analysis/technical_analyzer/technical_signal.py	TODO
Wave1	python_source	P2	800	817	./web/backend/app/api/stock_search/stock_search_result.py	TODO
Wave1	python_source	P2	800	807	./src/interfaces/adapters/efinance_adapter/efinance_data_source.py	TODO
Wave1	python_source	P2	800	807	./src/advanced_analysis/fundamental_analyzer.py	TODO
Wave1	python_source	P2	800	806	./src/advanced_analysis/trading_signals_analyzer/trading_signal.py	TODO
Wave1	python_source	P2	800	806	./src/advanced_analysis/chip_distribution_analyzer/chip_concentration.py	TODO
Wave1	python_source	P2	800	805	./src/routes/stocks_routes/check_use_mock_data.py	TODO
Wave3	ts	P0	500	2235	./web/frontend/src/api/types/common.ts	DONE
Wave3	ts	P1	500	978	./web/frontend/tests/e2e/strategy-management.spec.ts	TODO
Wave3	ts	P2	500	703	./web/frontend/src/components/market/composables/useProKLineChart.ts	TODO
Wave3	ts	P2	500	663	./tests/e2e/trade-management-page.spec.ts	TODO
Wave3	ts	P2	500	658	./tests/e2e/realtime-monitor.spec.ts	TODO
Wave3	ts	P2	500	634	./web/frontend/src/services/TradingApiManager.ts	TODO
Wave3	ts	P2	500	627	./tests/config/coverage-config.ts	TODO
Wave3	ts	P2	500	625	./tests/e2e/settings-page.spec.ts	TODO
Wave3	ts	P2	500	616	./web/frontend/src/components/Charts/composables/useProKLineChart.ts	TODO
Wave3	ts	P2	500	609	./tests/helpers/coverage-reporter/coverage-reporter.ts	TODO
Wave3	ts	P2	500	595	./tests/e2e/stock-detail-page.spec.ts	TODO
Wave3	ts	P2	500	592	./web/frontend/tests/unit/utils/indicators-extended.test.ts	TODO
Wave3	ts	P2	500	590	./tests/helpers/performance-monitor.ts	TODO
Wave3	ts	P2	500	578	./tests/e2e/task-management-page.spec.ts	TODO
Wave3	ts	P2	500	576	./web/frontend/tests/unit/utils/indicators.test.ts	TODO
Wave3	ts	P2	500	559	./web/frontend/src/views/composables/useTechnicalAnalysis.ts	TODO
Wave3	ts	P2	500	559	./web/frontend/src/api/types/common/types-2.ts	TODO
Wave3	ts	P2	500	558	./web/frontend/src/api/types/common/types-4.ts	TODO
Wave3	ts	P2	500	558	./web/frontend/src/api/types/common/common_types/types-1.ts	TODO
Wave3	ts	P2	500	554	./tests/e2e/specs/trading.spec.ts	TODO
Wave3	ts	P2	500	551	./web/frontend/src/api/types/common/types-3.ts	TODO
Wave3	ts	P2	500	548	./tests/e2e/market-page.spec.ts	TODO
Wave3	ts	P2	500	543	./tests/e2e/specs/auth-optimized.spec.ts	TODO
Wave3	ts	P2	500	542	./web/frontend/src/api/user.ts	TODO
Wave3	ts	P2	500	542	./web/frontend/src/api/types/common/types-1.ts	TODO
Wave3	ts	P2	500	527	./web/frontend/src/views/demo/stock-analysis/code-examples.ts	TODO
Wave3	ts	P2	500	526	./web/frontend/tests/bloomberg-style.test.ts	TODO
Wave3	ts	P2	500	524	./web/frontend/src/types/market.ts	TODO
Wave3	ts	P2	500	520	./web/frontend/src/views/artdeco-pages/composables/useArtDecoDashboard.ts	TODO
Wave3	ts	P2	500	515	./web/frontend/src/views/market/composables/useEtf.ts	TODO
Wave3	ts	P2	500	508	./web/frontend/src/types/backend_types/part-1.ts	TODO
Wave3	ts	P2	500	506	./tests/helpers/api-helpers/part-1.ts	TODO
Wave3	ts	P2	500	505	./web/frontend/src/types/chart-types/types-1.ts	TODO
Wave3	ts	P2	500	503	./web/frontend/src/composables/useAria/use-aria.ts	TODO
Wave3	ts	P2	500	502	./web/frontend/src/layouts/MenuConfig.enhanced.ts	TODO
Wave3	ts	P2	500	501	./web/frontend/src/utils/indicators-extended/part-1.ts	TODO
Wave3	ts	P2	500	501	./web/frontend/src/utils/chartDataUtils.ts	TODO
Wave3	ts	P0	500	3137	./web/frontend/src/api/types/generated-types.ts	DONE
Wave2	js	P1	500	1289	./scripts/tests/web-usability-runner.js	DONE
Wave4	test_js	P1	1000	1141	./web/frontend/tests/api-automation.spec.js	DONE
Wave2	vue	P1	500	1140	./web/frontend/src/views/converted.archive/market-quotes.vue	EXCLUDED
