,name,tp,num,stocks
10,中证A100,zs,100,"['000002', '000063', '000100', '000333', '000338', '000425', '000538', '000651', '000725', '000792', '000938', '001979', '002001', '002027', '002049', '002179', '002230', '002241', '002252', '002352', '002371', '002415', '002422', '002460', '002463', '002466', '002475', '002594', '002648', '002714', '300014', '300015', '300122', '300124', '300274', '300308', '300750', '300760', '300896', '600009', '600010', '600019', '600028', '600030', '600031', '600036', '600048', '600050', '600089', '600111', '600150', '600276', '600309', '600346', '600406', '600426', '600436', '600438', '600489', '600519', '600547', '600584', '600585', '600690', '600760', '600893', '600900', '600941', '600989', '601006', '601012', '601088', '601166', '601318', '601390', '601398', '601600', '601668', '601669', '601728', '601766', '601816', '601857', '601888', '601899', '601919', '601985', '601989', '603259', '603501', '603799', '603986', '603993', '688008', '688012', '688041', '688111', '688256', '688271', '688981']"
11,中证A500,zs,0,['']
12,中证100,zs,100,"['000002', '000063', '000100', '000333', '000338', '000425', '000538', '000651', '000725', '000792', '000938', '001979', '002001', '002027', '002049', '002179', '002230', '002241', '002252', '002352', '002371', '002415', '002422', '002460', '002463', '002466', '002475', '002594', '002648', '002714', '300014', '300015', '300122', '300124', '300274', '300308', '300750', '300760', '300896', '600009', '600010', '600019', '600028', '600030', '600031', '600036', '600048', '600050', '600089', '600111', '600150', '600276', '600309', '600346', '600406', '600426', '600436', '600438', '600489', '600519', '600547', '600584', '600585', '600690', '600760', '600893', '600900', '600941', '600989', '601006', '601012', '601088', '601166', '601318', '601390', '601398', '601600', '601668', '601669', '601728', '601766', '601816', '601857', '601888', '601899', '601919', '601985', '601989', '603259', '603501', '603799', '603986', '603993', '688008', '688012', '688041', '688111', '688256', '688271', '688981']"
13,中证200,zs,200,"['000002', '000100', '000157', '000166', '000301', '000338', '000408', '000425', '000538', '000596', '000617', '000630', '000661', '000708', '000768', '000776', '000786', '000792', '000800', '000807', '000876', '000895', '000938', '000963', '000975', '000977', '000983', '000999', '001289', '001391', '001965', '001979', '002001', '002027', '002028', '002049', '002050', '002074', '002129', '002179', '002180', '002230', '002236', '002241', '002252', '002311', '002422', '002459', '002460', '002463', '002466', '002493', '002600', '002601', '002648', '002709', '002736', '002916', '002920', '002938', '300014', '300122', '300316', '300347', '300394', '300408', '300413', '300418', '300433', '300442', '300502', '300628', '300661', '300759', '300782', '300832', '300896', '300979', '301236', '301269', '302132', '600009', '600010', '600011', '600023', '600026', '600027', '600029', '600039', '600048', '600061', '600066', '600085', '600089', '600111', '600115', '600160', '600161', '600176', '600183', '600188', '600196', '600219', '600233', '600332', '600346', '600362', '600372', '600377', '600415', '600426', '600438', '600460', '600482', '600489', '600515', '600547', '600570', '600584', '600585', '600588', '600600', '600660', '600674', '600741', '600795', '600803', '600845', '600875', '600893', '600918', '600926', '600938', '600941', '600958', '601009', '601021', '601058', '601059', '601077', '601100', '601111', '601117', '601136', '601186', '601236', '601238', '601336', '601360', '601377', '601600', '601607', '601618', '601669', '601689', '601698', '601699', '601788', '601799', '601808', '601825', '601838', '601865', '601868', '601872', '601877', '601878', '601881', '601901', '601916', '601939', '601995', '603019', '603195', '603260', '603296', '603369', '603392', '603799', '603806', '603833', '603986', '605117', '605499', '688008', '688009', '688012', '688036', '688047', '688082', '688126', '688169', '688187', '688223', '688271', '688303', '688396', '688472', '688506', '688599']"
14,中证500,zs,0,['']
15,中证800,zs,0,['']
16,中证1000,zs,0,['']
17,中证2000,zs,0,['']
18,中证龙头,zs,50,"['000063', '000333', '000568', '000651', '000792', '000858', '000933', '002027', '002049', '002371', '002415', '002463', '002594', '002714', '300015', '300033', '300124', '300274', '300308', '300394', '300442', '300750', '300760', '300896', '600030', '600036', '600188', '600276', '600406', '600519', '600660', '600690', '600760', '600809', '600900', '600938', '601088', '601225', '601318', '601398', '601857', '601888', '601899', '601919', '601985', '603259', '603993', '605117', '688041', '688111']"
19,中证央企,zs,400,"['000008', '000016', '000021', '000026', '000028', '000031', '000032', '000050', '000059', '000065', '000066', '000069', '000099', '000166', '000400', '000410', '000423', '000503', '000519', '000537', '000547', '000550', '000553', '000566', '000591', '000617', '000625', '000629', '000657', '000708', '000717', '000727', '000733', '000738', '000758', '000761', '000762', '000768', '000777', '000778', '000786', '000792', '000799', '000800', '000807', '000815', '000819', '000825', '000830', '000831', '000839', '000852', '000875', '000877', '000878', '000881', '000883', '000898', '000901', '000920', '000922', '000927', '000928', '000930', '000950', '000958', '000962', '000966', '000969', '000998', '000999', '001213', '001287', '001289', '001872', '001914', '001965', '001979', '002017', '002025', '002037', '002039', '002046', '002051', '002057', '002059', '002063', '002080', '002096', '002106', '002128', '002140', '002179', '002182', '002189', '002190', '002226', '002232', '002246', '002265', '002268', '002281', '002302', '002320', '002368', '002389', '002401', '002415', '002419', '002423', '002439', '002544', '002643', '002916', '002935', '002939', '003009', '003031', '003035', '003816', '300034', '300070', '300073', '300087', '300140', '300188', '300197', '300212', '300294', '300388', '300406', '300446', '300455', '300516', '300523', '300527', '300747', '300788', '300797', '300847', '301048', '301058', '301090', '301137', '301215', '301269', '301311', '301508', '302132', '600006', '600011', '600019', '600021', '600025', '600026', '600027', '600028', '600029', '600030', '600036', '600037', '600038', '600048', '600050', '600056', '600058', '600061', '600062', '600071', '600072', '600081', '600084', '600100', '600101', '600115', '600116', '600118', '600125', '600129', '600131', '600138', '600150', '600151', '600161', '600171', '600176', '600178', '600184', '600195', '600198', '600206', '600230', '600231', '600236', '600259', '600268', '600271', '600282', '600292', '600299', '600312', '600313', '600316', '600320', '600328', '600335', '600339', '600343', '600345', '600372', '600378', '600390', '600391', '600392', '600406', '600420', '600422', '600428', '600433', '600435', '600449', '600452', '600458', '600480', '600482', '600486', '600489', '600495', '600497', '600498', '600500', '600501', '600505', '600508', '600511', '600517', '600523', '600528', '600535', '600536', '600550', '600552', '600562', '600581', '600582', '600583', '600584', '600590', '600640', '600657', '600685', '600688', '600698', '600710', '600720', '600726', '600737', '600744', '600750', '600760', '600764', '600765', '600775', '600776', '600782', '600787', '600795', '600808', '600845', '600850', '600855', '600862', '600863', '600871', '600875', '600877', '600879', '600886', '600893', '600900', '600905', '600916', '600917', '600938', '600941', '600961', '600962', '600963', '600967', '600968', '600970', '600973', '600990', '600995', '600999', '601005', '601006', '601016', '601038', '601059', '601061', '601068', '601088', '601096', '601106', '601111', '601117', '601156', '601179', '601186', '601198', '601226', '601236', '601288', '601319', '601328', '601333', '601336', '601390', '601398', '601399', '601598', '601600', '601606', '601608', '601611', '601618', '601628', '601658', '601668', '601669', '601696', '601698', '601718', '601728', '601766', '601788', '601800', '601808', '601816', '601818', '601857', '601866', '601868', '601869', '601872', '601880', '601881', '601888', '601898', '601918', '601919', '601939', '601949', '601965', '601968', '601975', '601985', '601988', '601989', '601991', '601995', '601998', '603013', '603060', '603082', '603128', '603698', '688009', '688027', '688107', '688128', '688146', '688151', '688187', '688190', '688248', '688295', '688297', '688334', '688375', '688387', '688396', '688425', '688439', '688459', '688475', '688552', '688562', '688563', '688570', '688586', '688631', '688648', '688702', '688707', '688709', '688779', '688981', '835640']"
