name,code,block,block5,num,stocks
小金属,880329,T020205,T0202,63,"['000629', '000633', '000657', '000762', '000831', '000960', '000962', '000969', '002149', '002167', '002176', '002182', '002192', '002240', '002340', '002378', '002428', '002460', '002466', '002497', '002667', '002716', '002738', '002756', '002842', '002978', '300328', '300618', '300855', '300930', '300963', '301026', '301152', '301219', '301522', '600111', '600255', '600259', '600281', '600301', '600392', '600456', '600459', '600549', '600711', '601137', '601958', '603045', '603399', '603663', '603799', '603978', '603993', '605376', '688122', '688750', '688786', '920068', '920152', '920167', '920576', '920751', '920914']"
化纤,880330,T0203,T0203,33,"['000301', '000420', '000677', '000703', '000782', '000936', '000949', '002064', '002206', '002254', '002427', '002493', '002998', '300180', '300699', '300777', '300876', '301057', '600063', '600409', '600527', '600810', '600889', '601113', '601233', '603225', '603332', '603382', '603406', '605166', '688295', '688722', '920077']"
化工,880335,T0204,T0204,440,"['000408', '000422', '000510', '000525', '000545', '000553', '000565', '000635', '000683', '000691', '000695', '000707', '000731', '000792', '000818', '000822', '000830', '000859', '000881', '000893', '000902', '000912', '000920', '000973', '000985', '000990', '001207', '001217', '001218', '001231', '001333', '001335', '001356', '001358', '001378', '002004', '002014', '002037', '002054', '002068', '002092', '002096', '002108', '002109', '002125', '002136', '002145', '002165', '002170', '002211', '002215', '002224', '002226', '002246', '002250', '002258', '002263', '002274', '002312', '002319', '002324', '002326', '002360', '002361', '002381', '002386', '002391', '002395', '002407', '002408', '002440', '002442', '002453', '002455', '002457', '002469', '002470', '002476', '002496', '002522', '002538', '002539', '002545', '002556', '002584', '002585', '002588', '002601', '002632', '002641', '002643', '002648', '002666', '002669', '002683', '002694', '002709', '002734', '002735', '002741', '002748', '002749', '002753', '002768', '002783', '002802', '002809', '002810', '002825', '002827', '002838', '002886', '002895', '002909', '002915', '002917', '002942', '002971', '002986', '003002', '003017', '003018', '003022', '003042', '300019', '300037', '300041', '300054', '300067', '300072', '300082', '300107', '300109', '300121', '300132', '300169', '300174', '300198', '300200', '300214', '300218', '300221', '300225', '300230', '300243', '300261', '300305', '300320', '300321', '300343', '300387', '300393', '300398', '300405', '300429', '300437', '300478', '300481', '300487', '300505', '300522', '300535', '300537', '300538', '300539', '300568', '300575', '300576', '300586', '300587', '300596', '300599', '300610', '300637', '300641', '300644', '300647', '300665', '300716', '300717', '300721', '300727', '300731', '300758', '300767', '300769', '300784', '300796', '300798', '300801', '300804', '300806', '300821', '300834', '300847', '300848', '300849', '300886', '300891', '300905', '300910', '300920', '300927', '300980', '300995', '301003', '301019', '301035', '301036', '301037', '301059', '301069', '301076', '301077', '301090', '301092', '301100', '301118', '301131', '301149', '301190', '301198', '301209', '301212', '301216', '301220', '301237', '301238', '301256', '301286', '301292', '301300', '301323', '301349', '301373', '301393', '301395', '301487', '301518', '301538', '301555', '301565', '301585', '301591', '301595', '301617', '301618', '301630', '301665', '600075', '600078', '600096', '600135', '600141', '600143', '600160', '600165', '600227', '600230', '600273', '600309', '600319', '600328', '600331', '600352', '600367', '600370', '600378', '600389', '600423', '600426', '600458', '600470', '600486', '600500', '600596', '600599', '600610', '600618', '600623', '600691', '600714', '600722', '600727', '600731', '600746', '600800', '600844', '600935', '600955', '600989', '601065', '601118', '601208', '601216', '601568', '601678', '603002', '603004', '603010', '603026', '603033', '603041', '603051', '603062', '603065', '603067', '603077', '603086', '603110', '603113', '603120', '603125', '603150', '603155', '603172', '603181', '603188', '603192', '603212', '603213', '603217', '603227', '603255', '603260', '603276', '603281', '603285', '603310', '603330', '603360', '603378', '603379', '603395', '603505', '603580', '603585', '603599', '603639', '603650', '603659', '603681', '603683', '603722', '603725', '603737', '603790', '603806', '603810', '603822', '603823', '603826', '603856', '603867', '603879', '603916', '603928', '603931', '603938', '603948', '603968', '603970', '603977', '603980', '603991', '605008', '605020', '605033', '605183', '605366', '605399', '605488', '605566', '605589', '688065', '688093', '688106', '688116', '688129', '688133', '688157', '688199', '688203', '688219', '688267', '688268', '688269', '688323', '688350', '688353', '688357', '688359', '688386', '688548', '688550', '688571', '688585', '688602', '688603', '688625', '688669', '688680', '688690', '688708', '688716', '688718', '688758', '920015', '920033', '920056', '920066', '920089', '920098', '920118', '920163', '920175', '920185', '920204', '920225', '920247', '920261', '920304', '920402', '920469', '920471', '920489', '920519', '920526', '920527', '920665', '920694', '920719', '920819', '920832', '920834', '920866', '920871', '920957', '920971', '920974']"
化工原料,880336,T020401,T0204,254,"['000510', '000545', '000635', '000683', '000691', '000695', '000707', '000818', '000822', '000830', '000881', '000985', '000990', '001207', '001217', '001218', '001333', '001335', '001358', '002037', '002068', '002092', '002096', '002109', '002125', '002136', '002145', '002165', '002226', '002246', '002250', '002312', '002326', '002360', '002361', '002386', '002407', '002408', '002442', '002453', '002455', '002469', '002476', '002584', '002601', '002643', '002648', '002666', '002669', '002683', '002709', '002741', '002748', '002753', '002783', '002802', '002809', '002810', '002825', '002827', '002895', '002909', '002915', '002917', '002971', '002986', '003002', '003017', '003022', '300019', '300037', '300041', '300054', '300072', '300082', '300107', '300109', '300121', '300132', '300174', '300200', '300214', '300243', '300343', '300398', '300405', '300429', '300437', '300481', '300487', '300535', '300568', '300586', '300596', '300610', '300637', '300641', '300647', '300721', '300727', '300769', '300801', '300821', '300834', '300847', '300848', '300886', '300891', '300910', '300927', '301059', '301069', '301076', '301077', '301090', '301092', '301100', '301118', '301149', '301212', '301216', '301220', '301238', '301256', '301286', '301292', '301300', '301349', '301373', '301393', '301395', '301487', '301518', '301555', '301617', '301630', '600075', '600078', '600160', '600165', '600230', '600273', '600309', '600319', '600328', '600367', '600370', '600378', '600596', '600599', '600610', '600618', '600623', '600714', '600722', '600727', '600746', '600800', '600844', '600935', '600955', '600989', '601065', '601208', '601216', '601568', '601678', '603002', '603004', '603010', '603026', '603041', '603065', '603067', '603077', '603113', '603120', '603125', '603155', '603181', '603192', '603213', '603217', '603227', '603255', '603260', '603276', '603281', '603285', '603310', '603379', '603505', '603650', '603659', '603681', '603683', '603722', '603822', '603867', '603879', '603916', '603928', '603931', '603938', '603948', '603968', '603977', '605020', '605183', '605366', '605399', '605589', '688065', '688093', '688106', '688116', '688133', '688199', '688267', '688268', '688269', '688350', '688353', '688357', '688359', '688386', '688548', '688550', '688585', '688602', '688603', '688625', '688669', '688690', '688708', '688716', '688758', '920015', '920033', '920175', '920185', '920261', '920304', '920402', '920471', '920489', '920519', '920526', '920527', '920719', '920832', '920957', '920971', '920974']"
农药化肥,880337,T020402,T0204,57,"['000408', '000422', '000525', '000553', '000731', '000792', '000893', '000902', '000912', '001231', '002004', '002170', '002215', '002258', '002274', '002391', '002470', '002496', '002538', '002539', '002545', '002556', '002588', '002734', '002749', '002942', '003042', '300261', '300387', '300505', '300575', '300796', '300804', '301035', '301665', '600096', '600141', '600227', '600331', '600389', '600423', '600426', '600470', '600486', '600691', '600731', '603086', '603360', '603395', '603585', '603599', '603639', '603810', '603970', '605033', '920819', '920866']"
塑料,880338,T020404,T0204,79,"['000859', '000920', '000973', '001356', '001378', '002014', '002108', '002263', '002324', '002395', '002457', '002522', '002585', '002632', '002641', '002694', '002735', '002768', '002838', '002886', '003018', '300169', '300198', '300218', '300221', '300230', '300305', '300321', '300393', '300478', '300538', '300539', '300599', '300644', '300716', '300717', '300784', '300806', '300849', '300920', '300980', '300995', '301003', '301019', '301131', '301198', '301237', '301538', '301565', '301591', '600135', '600143', '600458', '600500', '603051', '603150', '603212', '603330', '603580', '603725', '603806', '603856', '603991', '605488', '688203', '688219', '688323', '688680', '688718', '920056', '920066', '920089', '920118', '920163', '920204', '920469', '920694', '920834', '920871']"
橡胶,880339,T020405,T0204,16,"['002211', '002224', '002381', '300320', '300587', '300731', '300767', '301323', '301595', '601118', '603033', '605008', '920098', '920225', '920247', '920665']"
染料涂料,880340,T020406,T0204,34,"['000565', '002054', '002319', '002440', '300067', '300225', '300522', '300537', '300576', '300665', '300758', '300798', '300905', '301036', '301037', '301190', '301209', '301585', '301618', '600352', '603062', '603110', '603172', '603188', '603378', '603737', '603790', '603823', '603826', '603980', '605566', '688129', '688157', '688571']"
建材,880344,T0206,T0206,75,"['000012', '000055', '000401', '000619', '000672', '000786', '000789', '000877', '000935', '001212', '001296', '002043', '002066', '002080', '002162', '002201', '002205', '002225', '002233', '002247', '002271', '002302', '002333', '002372', '002377', '002392', '002398', '002596', '002623', '002652', '002671', '002718', '002742', '002785', '002791', '002918', '003012', '003037', '300196', '300234', '300285', '300374', '300395', '300715', '300737', '301010', '301188', '301429', '301526', '600176', '600293', '600326', '600425', '600449', '600585', '600586', '600668', '600678', '600801', '600802', '600819', '600876', '601636', '601865', '601992', '603256', '603601', '603616', '603969', '605006', '605122', '605318', '688119', '920580', '920792']"
陶瓷,880345,T020601,T0206,5,"['002162', '002918', '003012', '300234', '300285']"
